file,citation_title,abstracts,authors,affiliations,classifications,subject_area_name
670.html,Regulatory effects of PI3K/AKT2/mTOR signaling pathway on autophagy activation in cardiac tissues of mice with vial myocarditis,"Objective: To study the phosphorylation of AKT2 protein and autophagy activation in cardiac tissues of mice infected with coxsackievirus B3 (CVB3) for further analyzing the regulatory mechanism of PI3K/AKT2/mTOR signaling pathway on autophagy activation in viral myocarditis. Methods: Thirty BALB/c mice were randomly divided into three groups (n=10): control group, myocarditis group and AKT activator-treated group. Those in the latter two groups were intraperitoneally injected with CVB3 to establish the mouse model of acute viral myocarditis. Daily intraperitoneal injection of 0.04 mg/g of Akt activator (SC79) was given to each mouse in the AKT activator-treated group 24 hours after CVB3 infection for 7 consecutive days, while the mice in the other two groups were given the same dose of normal saline. HE staining was used to observe the infiltration of inflammatory cells and tissue necrosis. Expression of CVB3 and inflammatory cytokines such as IL-1β and IL-6 in cardiac tissues at mRNA level was detected by q-PCR. Brain natriuretic peptide (BNP) and cardiac troponin I (cTnI) were measured by ELISA to evaluate myocardial injury. Changes in the expression of autophagy-related protein LC3 and Beclin1 at protein level as well as PI3K/AKT2/mTOR pathway were analyzed by Western blot assay. Results: Compared with the control group, massive inflammatory cell infiltration was observed in cardiac specimens of mice with myocarditis, but no obvious tissue necrosis was detected. Moreover, expression of CVB3 and inflammatory factors in cardiac tissues at mRNA level, levels of BNP and cTnI in blood, LC3Ⅱ to LC3Ⅰratio as well as Beclin1 protein level in cardiac tissues were significantly increased after CVB3 infection (P<0.05), whereas the activity of PI3K/AKT2/mTOR signaling pathway was decreased. AKT activator not only down-regulated the LC3Ⅱ to LC3Ⅰratio and the expression of Beclin1 protein, but also enhanced the activation of PI3K/AKT2/mTOR signaling pathway in cardiac tissues of mice with myocarditis (P<0.05). Conclusion: Enhanced autophagy and suppressed PI3K/AKT2/mTOR signaling pathway are observed in cardiac tissues of mice with myocarditis, indicating that the activation of autophagy may be regulated by PI3K/AKT2/mTOR signaling pathway. Copyright © 2017 by the Chinese Medical Association.",Zhang Wenwu; Shi Zhewei; Ge Lisha; Chen Guangyi; Zhou Depu; Li Yuechun,Department of Intensive Care Unit\The Second Affiliated Hospital and Yuying Children's Hospital of Wenzhou Medical University\China; Department of Cardiology\The Second Affiliated Hospital and Yuying Children's Hospital of Wenzhou Medical University\China; Department of Pediatric Emergency\The Second Affiliated Hospital and Yuying Children's Hospital of Wenzhou Medical University\China,-,Autophagy; Myocarditis; PI3K/AKT2/mTOR signaling pathway
671.html,Pathogenicity of ABC transporter SSU05_0946 of Streptococcus suis serotype 2,"Objective: To construct a mutant strain of Streptococcus suis type 2 05ZYH33 expressing ABC transporter SSU05_0946 and to study the pathogenicity of ABC transporter SSU05_0946 for better understanding the immune evasion strategies by Streptococcus suis. Methods: Genome of the Streptococcus suis type 2 05ZYH33 strain was extracted and used as a template to amplify SSU05_0946 upstream and downstream homeodomains. Chloramphenicol-resistance gene was amplified by using pSET1 plasmid as the template. These three amplified fragments were fused and integrated with the thermo-sensitive plasmid pSET4s by using overlap extension PCR. Homologous recombination method was used to construct the mutant strain 05ZYH33Δ0946. Differences between the mutant and wild type strains were evaluated through bacterial adhesion assay, whole blood killing assay and challenge test in mice and piglets. Results: The mutant strain 05ZYH33Δ0946 was successfully constructed. Results of bacterial adhesion assay demonstrated that SSU05_0946 was not involved in the adherence of Streptococcus suis to human epithelial cells. SSU05_0946 was an ovel anti-phagocytic factor and virulence factor of Streptococcus suis. Conclusion: Streptococcus suis type 2 ABC transporter SSU05_0946 is a newly discovered virulence factor of Streptococcus suis, playing an important role in the evasion of host innate immunity by Streptococcus suis. Copyright © 2017 by the Chinese Medical Association.",Pian Yaya; Ren Simei; Gao Zhenxiang; Nie Jingjing; Zhang Ran; Hu Jihong,National Center for Clinical Laboratories\Beijing Hospital\China,-,Gene knockout; Streptococcus suis type 2; Virulence factor; Whole blood killing
672.html,Physicochemical and immunological characterization of two forms of recombinant norovirus GⅡ.4 virus-like particles assembled in Hansenula polymorpha,"Objective: To investigate the physicochemical properties and immunogenicity of virus like particles(VLPs) in two different conformations assembled from the essential capsid protein VP1 of GⅡ.4 norovirus (NoV) in Hansenula polymorpha. Methods: NoV GⅡ.4 VLPs in two different conformations were prepared from high-density fermentation of recombinant engineered strains and VLPs purification. Physicochemical properties of the two forms of VLPs were identified by Western blot, size-exclusion high performance liquid chromatography (SEC-HPLC), dynamic light scattering(DLS) and transmission electron microscopy. Serum VLPs binding activities and blocking activities against VLPs binding to histo-blood group antigen(HBGA-VLPs) were evaluated after immunization of BALB/c mice with the two forms of VLPs. Results: VLPs of two different diameters with high homogeneity were obtained after purification. DLS results showed that particle sizes of two VLPs were 53.98 nm and 45.18 nm, respectively. The two VLPs were similar in binding abilities to HBGA receptors. Serum VLPs binding activities and blocking activities against HBGA-VLPs were found higher in NoV-VLP-L than NoV-VLP-S, but the difference was not statistically significant (P>0.05). Conclusion: VLPs in two different conformations were obtained by expressing NoV GⅡ.4 VP1 proteins in Hansenula polymorpha. Though they were similar in physicochemical properties and immunogenicity, the NoV-VLP-L might be potential antigen candidates for the development of recombinant human norovirus vaccine. Copyright © 2017 by the Chinese Medical Association.",Zhang Jing; Tang Fang; Zhang Xuefeng; Ma Zhijing; Liu Zhaoming; Liang Yu; Li Qiming,The Sixth Laboratory\National Vaccine and Serum Institute\China,-,Histo-blood group antigen; Norovirus; Receptor binding assay; Virus-like particles
673.html,Detection of anti-double-stranded DNA antibody by time-resolved fluoroimmunoassay,-,Ma Jian; Zhou Ying; Hu Zhigang,Department of Clinical Laboratory\Wuxi People's Hospital\China,-,-
674.html,A modified carbapenem inactivation method (mCIM) for the detection of carbapenem-producing Klebsiella pneumoniae,-,Zuo Chunlei; Jin Danting; Mao Haifeng; Liu Hongshu,Department of Clinical Laboratory\the First People's Hospital of Lianyungang\China,-,-
675.html,Anti-measles antibody levels in healthy people in Jinshan District of Shanghai,"Objective: To detect the levels of anti-measles antibody in a healthy population in Jinshan District of Shanghai and to provide references for making a better immunization strategy against measles in this area. Methods: Stratified sampling was used to collect 390 serum sample in 12 age groups with an equal number of males and females as well as resident and floating population. Indirect enzyme-linked immunosorbent assay (ELISA) was performed to detect the concentrations of IgG antibody against measles in different groups. Results: The overall positive rate and protective rate of anti-measles antibody were 78.21% and 41.28%, respectively. No significant difference in the positive rates of antibody was found between males and females, or resident and floating population (P>0.05). Antibody levels varied significantly among different age groups (χ2=191.214, P<0.01). More than 80.00% of the people aged ≥1 year were positive for anti-measles antibody and the positive rates in children 3 to 6 years old and people aged ≥40 years reached 100% and over 90.00%, respectively. Infants under 8 months of age, having the lowest positive rate of antibody (10.00%), were susceptible to measles. The highest protective rate was found in children aged 8 months to 9 years, followed by that in people≥40 years. Levels of anti-measles antibody in people aged 10 to 39 years mainly ranged from 200 mIU/ml to 800 mIU/ml. No significant difference in antibody levels was found among people aged ≥8 months who had different immunization histories (χ2=1.140, P>0.05). Conclusion: The average level of anti-measles antibody was high in Jinshan District in 2015, indicating that the people in that area had a relatively high immunity to measles, but the positive rate of antibody needed to be further improved. Infants under 8 months old and people 10 to 39 years old were the main susceptible groups. It is suggested that measles vaccination efforts should be focused on susceptible population and women of childbearing age to improve herd immunity. Copyright © 2017 by the Chinese Medical Association.",Yao Hongcen; Zhao Jiajun; Ren Jia; Tang Suwen; Wang Jingjing; Li Shuhua; Tang Xihong,Jinshan District Center for Disease Control and Prevention\Shanghai\China; Sichuan Provincial Center for Disease Control and Prevention\Chengdu\China; Shanghai Municipal Center for Disease Control and Prevention\Shanghai\China,-,Antibody level; Measles; Positive rate
676.html,Crowdsourcing in Egyptology - images and annotations of Middle Kingdom private tombs,"Upload is a free crowdsourcing platform which provides photographs of tombs and tomb decoration from the Middle Kingdom. The data available on this platform will be generated through crowdsourcing techniques. This method aims at enabling and encouraging the involvement of a broad interested public, which will constantly enlarge, update and improve the database. Various 'games with a purpose' allow interested users to contribute their own data, which will be reviewed and integrated into the MEKETREpository, an online repository for Middle Kingdom tomb scenes. So far, most of the existing data could not be used effectively for three main reasons: Poor quality owing to outdated or insufficient publications, tight copyright restrictions, and limited availability on the web. A consistent use of Upload by simultaneously further promoting its games and its mutual benefits may expand the accumulated data and allow all parties interested in Egyptology to use a more comprehensive database of images of Middle Kingdom tomb scenes. © Archaeopress and the authors 2017. All rights reserved.",Kalchgruber Peter; Hudáková Lubica,-,-,'Citizen science'; 'Games with a purpose'; Crowdsourcing; Funerary archaeology; Human-based computation; Middle Kingdom
677.html,"Fish offerings found in Area 32 of the archaeological site of Oxyrhynchus (El-Bahnasa, Egypt)","During the 2012 season of excavations at the archaeological site of Oxyrhynchus, an exceptional discovery was made of a phenomenon not found anywhere else to date. Immediately under the layers containing Roman tombs (the south wall of funerary chamber no.3 of tomb 11) there appeared a large strata of dark-coloured soil in the shape of a cross, containing several layers of a huge amount of different size fish. We separated each one of these and at the end of the season counted approximately 2500 fish. In 2013 we continued excavation work in the area to the southwest and discovered another huge stratum, again in the form of a cross. This stratum contained approximately 3000 fish of the same type, but this time in mummified form. We decided to save the complete excavation of these votive fish deposit remains for a later date, and in 2015 completed the excavations. 97% of the fish were of the Mormyridae family (Mormyrus Cashive and Mormyrus Kannume), in other words Oxyrhynchus, which was the symbol of the city. The other 3% were represented by lepidotes, catfish, and the remains of some cats. The discoveries were, moreover, very important in terms of the funerary cult that developed in the Nome of Oxyrhynchus, and in particular in the High Necropolis. © Archaeopress and the authors 2017. All rights reserved.",Roca Maite Mascort; Mellado Esther Pons,Servei d'Arqueologia I Paleontologia of the Generalitat de Catalunya\Member of the Archaeological Mission of Oxyrhynchus\Spain; National Archaeological Museum of Madrid\Member of the Archaeological Mission of Oxyrhynchus\Spain,-,High Necropolis; Oxyrhynchus; Oxyrhynchus fish; Thoeris; Votive offering
678.html,The Montecelio Obelisk in Rome,"This contribution studies the early history of the Montecelio obelisk and some mistaken identifications in early panoramas of Rome, as well as the equally mistaken relation to the monuments of the Iseum Campense. © Archaeopress and the authors 2017. All rights reserved.",Manniche Lise,-,-,Capitoline Hill; Iseum Campense; Late middle ages; Obelisk; Rome
679.html,Figurative vase painting from the First Intermediate Period through to the Fatimid Dynasty: A continuity?,"Vase painting is an underestimated branch of Egyptian applied arts, lingering in the shadow of the great achievements of the fine arts. This article aims at introducing the conscient recognition of figurative vase painting as an autonomous and continuous branch of art into Egyptology. In fact, the history of ceramic painting begins gloriously with the Naqada I and II Periods, followed however, by a gap, i.e. its total absence, during the Early Dynastic and Old Kingdom Periods. From the First Intermediate Period through to the Fatimid Dynasty (c. 2100 BC - c. AD 1200), vessels, bowls, and plates were continuously decorated with motifs or scenes containing human and animal figures. The second half of this long span is characterized by the successive Greek, Roman, Byzantine, and Arabic conquests, each provoking drastic cultural alterations clearly reflected by the artistic production of the periods. Noticeably, these changes of culture were unable to break this branch of art, and vase painting was not completely transformed (as was the case with other branches of art); rather, some elements of style and contents were always handed down. A major reason for this kind of permanence may be sought in the specific character of ceramics. Vase painting is absolutely sui generis, implying a technical skill unparalleled in any other artistic discipline. On pottery, the surface to paint on is always curved, either convex or concave, and in both cases turning around the body of the vessel and thus returning into itself. The structure of a vessel calls for symmetry (mirror symmetry, translational symmetry, rotational symmetry, or combinations of these), and artists arranging motifs on a surface made a large use of it. The inside only of relatively flat bowls or plates was felt to be appropriate for more or less freely composed scenes. The specific structure of vessels also calls for the simplification and concentration of motifs, allegoric single figures or groups being the preferred types in vase painting. On a technical level, Egyptian and Nubian artists made no difference between working on pottery or faience, the latter material allowing for a painted decoration as well as a flat relief. Faience was no more in use after the Roman Imperial Period; what is left from the Byzantine Period is unglazed pottery, while the Fatimid artists preferred lustre painting. In the First Intermediate Period and the Middle Kingdom, some paradigmatic motifs and decoration schemes were created, such as the hunter, the girl with erotic attributes, the lotus vase, and the fish plate. Some of them may recur regularly, sometimes in modified form, until the Fatimid Period, some may be omitted after a time, and some new ones may be invented at any time subsequent to the Middle Kingdom. © Archaeopress and the authors 2017. All rights reserved.",Müller Maya,-,-,Ceramics; Iconography; Painting; Symmetry; Vessel
68.html,"Spatiotemporal assessment and trade-offs of multiple ecosystem services based on land use changes in Zengcheng, China","Driven by rapid urbanization, land use change has become a significant factor influencing ecosystem services (ESs). To support the decision-making process of city planners and policy makers, assessing the spatiotemporal changes associated with multiple ESs is vital. In this study, we developed a general structure to assess the changes of multiple ESs in Zengcheng, China. A new index also was developed to measure the comprehensive ecosystem service (CES). Trade-offs of various ESs were analyzed by using correlation analysis. We then designed four alternate scenarios to explore the optimal land use strategies to increase the CES value and minimize trade-offs among various ESs. Results demonstrated that rapid expansion of built-up land and traffic land resulted in a decrease of CES in Zengcheng from 2003 to 2013. Although the water supply, water purification, and vegetable and fruit production services increased, the climate regulation, soil conservation, biodiversity protection, recreation opportunity and grain production services decreased during the ten-year period. Government should implement land use policies and ecological engineering measures to improve soil conservation in the northern region; recreation opportunity in the central region; and carbon storage, water purification, biodiversity protection and recreation opportunity in the southern region. Among all alternative scenarios, woodland buffer and soil conservation scenarios exhibit the highest CES values, indicating that policies such as the “Ecological corridor construction” project and the “Grain for Green” project should be implemented. However, a caveat is that these policies improve the ESs at the expense of food production due to significant trade-off relationships. To minimize the trade-offs, a more sustainable intensification of agriculture should be adopted to increase food production without decreasing other ESs or occupying additional land. The land use strategies and ecological engineering measures in this study can provide a reliable reference for sustainable development of other urbanized regions in China. © 2017 Elsevier B.V.",Sun Xiao; Li Feng,State Key Laboratory of Urban and Regional Ecology\Research Center for Eco-Environmental Sciences\China; University of Chinese Academy of Sciences\Beijing\China,-,Alternative scenario; Ecosystem services (ESs); Land use change; Trade-offs
680.html,Scenes representing temple rituals on some 21st Dynasty coffins,"The temporary lack of traditional funerary cult places (i.e. private funerary chapels) at the beginning of the Third Intermediate Period may logically have led to the role of temples in funerary rituals during and after the burial becoming increasingly important. It is not surprising, therefore, that a whole series of new pictorial compositions/iconographic motifs were introduced in the Theban private funerary context in the course of the late Ramesside Period and the 21st Dynasty, often referring to non-funerary rituals performed in temples. Among the new compositions one can frequently come across temple ritual scenes and an increasing number of allusions to local and non-local temple rituals. Rites performed during festivals of various funerary deities (e.g. during the Khoiak feast of Osiris) provided a fundamental divine pattern for the deceased and were a guarantee for perpetuating the ritual after death. Osirian rites, which were originally composed for temple use and applied in New Kingdom royal tombs, were recopied and adapted for private use and recited for the benefit of the deceased as early as the first half of the Third Intermediate Period, before becoming more popular in the 'Book of the Dead' versions of the Saite redaction. This paper presents and interprets some scenes and motifs of temple rituals appearing in 21st Dynasty private funerary contexts. © Archaeopress and the authors 2017. All rights reserved.",Liptay Éva,Museum of Fine Arts\Budapest\Hungary,-,21st dynasty; Coffin iconography; Heliopolis; Temple ritual scenes
681.html,The Berlin Plans from the New Kingdom Period,"Among the various methods of conveying architectural information, the plan has been the most conventional medium since the beginning of ancient civilization. Compared to the architectural finds of Ancient Mediterranean cultures, those of Ancient Egypt provide us additionally with architectural drawings on papyrus. One of the best preserved architectural plans on papyrus can indeed be seen in the Egyptian Museum in Turin. There are also some less known fragments of architectural plans on papyrus containing hieratic notations in the Papyrussammlung der Staatlichen Museen zu Berlin. They were brought into the museum by the famous architectural historian Ludwig Borchardt, but have yet to be examined in their entirety. In this paper, these fragments are analyzed in detail. The analysis will show that the fragments of the plans depict two or three temples that were still under construction. Since the paleography suggests the reign(s) of Seti I-Ramesses II, it is likely that the buildings depicted here concern either construction drawings of the projects initiated by these pharaohs, or documentations of the unfinished buildings of the predecessors. © Archaeopress and the authors 2017. All rights reserved.",Yasuoka Yoshifumi,Department of Architecture\The University of Tokyo\Japan,-,Architecture; Cubit; Drawing; Plan; Rock-cut temple
682.html,The Physiologus in Egypt,"The Physiologus is a work intimately related to Egypt. The author of the essay is unknown, but most likely it was composed in Greek language in Alexandria between the end of the 2nd and the end of the 4th century AD. The direct tradition of the Physiologus in Greek includes a good number of manuscripts belonging to the Middle Ages (from the 10/11th century on), to which was recently added a fragment on papyrus from Egypt dating back to the 6th century (PSI XVI 1577). Among the non-Greek versions, the Coptic Physiologus stands out as one of the most important translations composed around the 5th century AD. We do not have an unbroken, direct witness of the complete work, but some fragments of the text are known, as well as some references to different chapters in the works of other authors. We can then say that the edition of the Physiologus in Coptic relies almost entirely on indirect witnesses of the text. The only direct witness appears to be a fragment of a paper notebook dating back to the 10/11th century AD (P.Berol. Inv. 7999). In this paper I would like to focus firstly on analysing the data on the text of the Physiologus obtained from the two direct witnesses coming from Egypt; secondly on investigating some aspects of the witness of the indirect sources, which are crucial to appreciate the influence that this essay had on Egyptian Christian literature, and to retrace the cultural environment of late ancient Egypt. © Archaeopress and the authors 2017. All rights reserved.",Stroppa Marco,Istituto Papirologico 'G. Vitelli'\Università degli Studi di Firenze\Italy,-,Bestiaries; Coptic literature; Greek papyri; Late Antique Egypt; Physiologus
683.html,Economic mentalities and Ancient Egyptian legal documents,"According to Moses Finley, business activities of economic actors in the ancient world were determined by a rentier mentality, i.e. the preference to invest in landed property or priestly prebends in order to accumulate wealth, as well as the tendency to interact economically only within the own family or peer group. Recent research on the economic history of the Ancient Near East draws a more complex picture of economic mentalities in Antiquity and principally distinguishes a rentier and an entrepreneur type. Actors of each type followed their own economic rationality that influenced their business decisions considerably. While reflections on economic mentalities are rarely found in literary sources, legal documents as products of economic transactions like sales, leases, loans, etc. provide insights into the strategies of the business partners involved, as well as the juridical and social environment that determined their economic behaviour. In this paper, I will discuss the identification of different economic mentalities by analysing Egyptian legal documents of the Late Period. © Archaeopress and the authors 2017. All rights reserved.",Schütze Alexander,Institut für Ägyptologie und Koptologie\Ludwig-Maximilians-Universität München\Germany,-,Demotic; Economy; Late period; Legal documents; Mentality
684.html,Doors to the past. Rediscovering fragments in the new blockyard at Medinet Habu,"In the Fall of 2007 the Epigraphic Survey decided to undertake the survey of the several hundred loose fragments scattered about the Medinet Habu temple precinct, some of them inscribed and lying face down on the surface, and already showing advanced signs of deterioration caused by groundwater and salt. The blocks were moved into a new blockyard built against the inside south enclosure wall of the complex for inventorying and documentation, as well as conservation as necessary. Between 2007-2011, most of the fragmentary material from Medinet Habu, including the fragments kept in the small blockyard south of the main temple and in a storage room in the great mortuary temple of Ramses III, was transferred into the new blockyard. This collection of more than 4000 fragments is quite diverse, comprising pieces from all periods of the precinct's history, from the early 18th Dynasty, through the abandonment of the Coptic town Djeme in the 9th century AD. The aim of this paper is to introduce a specific corpus within the Medinet Habu fragment collection - a group of doorjambs and lintels from private houses dating primarily to the end of the 20th Dynasty and early Third Intermediate Period. The comparison of the material as currently preserved in the new blockyard with the original documentation of the 1927-1933 Oriental Institute excavations has already led to unexpected and exceptional results, further illuminating our understanding of the early occupational history of the Medinet Habu settlement. © Archaeopress and the authors 2017. All rights reserved.",Schmied Julia,Oriental Institute\University of Chicago\United States,-,Doorjamb and lintel; Epigraphic survey; Medinet Habu; Ramesside; Settlement
685.html,Expression of loyalty to the king -A socio-cultural analysis of basilophoric personal names dating to the Old and Middle Kingdoms,"In ancient Egypt names do not only identify an individual and distinguish him/her from fellow human beings, but they can additionally provide valuable information on religious beliefs, social, cultural, and ethical values, as well as political programs. It was very common to adopt a second name at a later point in life, which thus mirrored, to a certain extent, the individual's personality and reputation he/she gained within society. In this vein, a second name could reflect a changing point in the individual's life, such as an exclusive loyalty or devotion to a certain king, which could be expressed for instance through basilophoric personal names. Ancient Egyptians included the name of a ruling king into their personal names to articulate their loyalty to the reigning sovereign, or they incorporated a name of a deceased pharaoh to venerate the ruler. But apart from expressing loyalty to or adoration for a specific king, basilophoric names also convey information on how said kings were characterized by society and how they were put in a certain relationship to a specific god or goddess. Therefore, basilophoric personal names do not only provide information on the name holder, but also on the personality and reputation of a king. © Archaeopress and the authors 2017. All rights reserved.",Geisen Christina,-,-,Kingship; Loyalty; Personal names; Society; Veneration
686.html,Papyri with the Ritual of the Opening of the Mouth in the Egyptian Museum in Turin,"Three unpublished papyri kept in the Turin Egyptian Museum are presented: PCGT 54041, 54042 and 54043, dating from the 19th-20th dynasty, and coming from Deir el Medina. These manuscripts are important for many reasons: They are the oldest versions of the Ritual of the Opening of the mouth written on papyrus, and they present a variety of applications of this ritual which is otherwise attested at a much later time, in the Graeco-Roman Period. Papyrus CGT 54041 is for the benefit of a private person, called Pay, while pCGT 54042 and pCGT 54043 are for the benefit of gods, Amun-Ra, and Amun-Ra together with Ptah-Sokar- Osiris respectively. © Archaeopress and the authors 2017. All rights reserved.",Contardi Federico,ASM\Archéologie des Sociétés Méditerranéennes\France,-,Deir el-Medina; Hieratic papyri; Ramesside period; Ritual of the opening of the mouth
687.html,Were components of Amarna composite statues made in separate workshops?,"Discussions of Amarna composite statuary often raise the question as to whether different sculptors' workshops specialized in specific components that were ultimately assembled into finished statues. Some scholars have claimed that there definitely was such cooperation, while others consider it a real possibility. Arguments in favor have been based largely on the types of composite pieces found, or not found, in the Thutmose workshop. This sort of simple 'assembly line' creation would have required considerable standardization of the poses and of the measurements for the tenons and mortises on the individual pieces. It has been suggested that the models from the Thutmose workshop and elsewhere were a means of creating such standards. This essay argues that there is no evidence for separate workshops sharing responsibility for making component pieces for composite statues. The types of pieces not found in the Thutmose complex were not found in other workshops either. The models bear no indications of tenons. There is, however, considerable evidence that the statues were made within single workshops, perhaps by small teams of specialists working in close proximity. This evidence comes from the dozens of surviving composite pieces, which display no standardization of tenons. Examples will demonstrate the ingenuity of the artists who devised distinctive tenon designs for a variety of poses. © Archaeopress and the authors 2017. All rights reserved.",Thompson Kristin,-,-,Amarna; Composite; Statuary; Thutmose (sculptor); Workshops
688.html,The 'pantheistic' deities. Report from research on iconography and role of polymorphic deities,"One of the most intriguing motifs of Egyptian religious iconography is a representation of the so-called Pantheos - a composite deity with additional animal heads and other animal attributes, along with magic and religious symbols. Deities of this group are commonly described in the Egyptological tradition as 'pantheistic'. Recently, a new name, 'polymorphic deities', was proposed for this iconographical category, which does not force any of the various possible interpretations, but only refers to one visual aspect of the motif (Quack 2006: 175-90). The discussion concerning such polymorphic representations suggests, on the one hand, a possible search for a personal, universal god with a solar, hidden aspect, and, on the other, a magic, practical dimension, providing protection against evil powers and dangers. Studies undertaken in recent years suggest that a polymorphic representation is not a simple visualization of one religious idea or a god, but it expresses diversified versions of popular and official beliefs present in ancient Egypt in the second half of the first millennium BC and later on. The paper reports the author's research on iconography, based on visual and semantic studies of polymorphic Late Egyptian, Ptolemaic and Roman depictions on statuettes, magic stelae, amulets, gems and illustrations of papyri. © Archaeopress and the authors 2017. All rights reserved.",First Grzegorz,-,-,Egypt in Ptolemaic and Roman periods; Egyptian religious heritage; Late Egyptian religion; Magic; Religious iconography
689.html,The 13th Dynasty at Abydos: A royal tomb and its context,"The 13th Dynasty remains an enigmatic period in Ancient Egyptian history. The main sources of information concerning the many kings of this relatively short period are the Turin Canon and a handful of royal tombs. One of the newly re-investigated royal tombs from this period is S9 at South Abydos. The results of these excavations not only allow for a detailed understanding of the architectural components of this and other royal tombs, they also lead to contemplation about the nature of kingship during the mid 13th Dynasty, when significant changes may have occurred in the very fabric of this institution. Choosing Abydos rather than a Memphite necropolis as the location of his tomb, the 13th Dynasty royal owner of S9 may have deliberately separated himself from the earlier rulers to whom he may or may not have been related. However, situating his tomb next to that of the venerated Senwosret III maintained at least a symbolic connection to the legacy of the 12th Dynasty rulers. © Archaeopress and the authors 2017. All rights reserved.",McCormack Dawn,-,-,13th Dynasty; Filiation; Kingship; Royal tombs; South Abydos
69.html,Atomic and electronic structure of a copper/graphene interface as prepared and 1.5 years after,"We report the results of X-ray spectroscopy and Raman measurements of as-prepared graphene on a high quality copper surface and the same materials after 1.5 years under different conditions (ambient and low humidity). The obtained results were compared with density functional theory calculations of the formation energies and electronic structures of various structural defects in graphene/Cu interfaces. For evaluation of the stability of the carbon cover, we propose a two-step model. The first step is oxidation of the graphene, and the second is perforation of graphene with the removal of carbon atoms as part of the carbon dioxide molecule. Results of the modeling and experimental measurements provide evidence that graphene grown on high-quality copper substrate becomes robust and stable in time (1.5 years). However, the stability of this interface depends on the quality of the graphene and the number of native defects in the graphene and substrate. The effect of the presence of a metallic substrate with defects on the stability and electronic structure of graphene is also discussed © 2017 Elsevier B.V.",Ponosov Yu. S.,Department of Chemistry\Hanyang University\South Korea; Theoretical Physics and Applied Mathematics Department\Ural Federal University\Russian Federation; Department of Physics and Engineering Physics\University of Saskatchewan\Canada; M.N. Mikheev Institute of Metal Physics\Russian Academy of Sciences-Ural Division\Russian Federation,-,Corrosion barrier; DFT modeling; Graphene; Oxidation; X-ray spectroscopy
690.html,Notes on the inscribed Old and Middle Kingdom coffins in the Egyptian Turin Museum,"The Turin collection of coffins from the Old and Middle Kingdoms, the subject of a research project by the author, mainly derives from the excavations of Ernesto Schiaparelli (at Asyut, Qaw el-Kebir and Gebelein) at the beginning of the 20th century. The analysis of the materials offers several suggestions for a funerary tradition which covers the period between the end of the Old Kingdom and the Middle Kingdom; at the same time, the textual collection is coherent within these traditions and which go on to be the main features of the funerary culture of the Middle Kingdom. Among others, some of the research topics discussed here include: -Archaeological contexts: These coffins confirm the prestige of the necropolis investigated by E. Schiaparelli. -Textual data: Because of the origins of the coffins, the Turin collection offers some case-studies of the funerary doctrine between the Old and Middle Kingdoms. The diffusion of the Coffin Texts, well known from the textual collection from the coffins of Iqer (Gebelein), is confirmed by other unpublished sources, mainly from Asyut. -Epigraphical data from the First Intermediate Period and Middle Kingdom scribal traditions. © Archaeopress and the authors 2017. All rights reserved.",Ciampini Emanuele M.,-,-,Asyut; Coffin; Coffin texts; Gebelein; Middle Kingdom; Qaw el-Kebir; Turin Museum
691.html,The 'geography' of the hierogrammateis: The religious topography of the Western Harpoon (7th Nome of Lower Egypt),"The region corresponding to the Western Harpoon province (7th nome of Lower Egypt) lacks systematic archaeological exploration - including surveys - and an in-depth study; most of the available documentation related to this province comes from the so-called 'cult-topographical manuals', mainly dated to the Ptolemaic and Roman periods. The hierogrammateis were in charge of sketching mythological and religious geographies, playing a key role in the formation, development and 'administration' of the conceptual space inside the imaginary of the ancient Egyptian society. This paper aims at mapping all the topographical elements, cities, multiple canals, rural territories, and marshlands, which constituted the religious topographical map of the Western Harpoon as imagined by the hierogrammateis. © Archaeopress and the authors 2017. All rights reserved.",Tiribilli Elena,-,-,Cult-topographical manuals; Hierogrammateis; Landscape archaeology; Sacred geography; Western Harpoon province
692.html,The mummies of the 'Three Sisters' in the Museo Egizio: A case study. Conservation and studies of textiles and bandages,"The conservation treatments conducted on the so-called 'Three Sisters' (Tamit, Tapeni and Renpetnefret), which belong to the collection of the Museo Egizio in Turin, has allowed us to study and investigate the textile wrappings of the mummies. The mummies were in poor condition due to natural ageing and to the vandalism that one of them had been victim to in the past. The purpose of the conservation work was the consolidation of the textiles in order to maintain access to the material for further study and analyses. © Archaeopress and the authors 2017. All rights reserved.",Oliva Cinzia; Borla Matilde,-,-,Coffin; Conservation; Mummy; Museo Egizio; Textile
693.html,The Merenptah Sarcophagi restoration project,"Edwin C. Brock undertook reconstruction of the outer sarcophagus box of king Merenptah in his tomb in the Valley of the Kings (KV 8) from 2011-2013. The restoration, carried out under the auspices of the Royal Ontario Museum, was based on 30% of the original fragments found in and around the tomb during various excavations. This article gives a brief overview of the fate of the king's burial equipment, Brock's investigations into the transport, installation and destruction of the sarcophagi, and finally, describes the multiple steps involved in carrying out and completing the reconstruction. © Archaeopress and the authors 2017. All rights reserved.",Brock Edwin C.,-,-,"Book of gates; Canopic box; Carl Richard Lepsius; Howard Carter; Imi-Duat; James Burton; KV 8; Merenptah; Napoleonic Expedition; Rameses II,Rameses VI; Reconstruction; Richard Pococke; Robert Hay; Sarcophagus; Tausert; Travertine; Valley of the kings"
